Solar Energy Contractors,99080,1711,238220,Solar Energy Contractors,5537,5538,663,5550,5538,5536,663,5536
Spas or Personal Enhancement Facilities,18200,7991,713940,Health Spa or Steam Bath,9063,9053,884,9063,9053,9063,884,9063
Sponge Processing,59257,919,114119,Marine Fishing NOC (NAICS),7016,N/A,7039,7016,7019,7016,7039,7016
"Sporting Goods or Athletic Equipment
Distributors",18205,5091,423910,"Sporting Goods or Athletic Equipment
Distributors (CGL)",8018,8018,924,8018,8018,8018,924,8018
,,3949,339920,Fishing Rod and Tackle Mfg.,4902,3574,454,4902,4902,4902,454,4902
Sporting Goods or Athletic Equipment Mfg.,59306,3949,339920,Golf Clubs Mfg. or Assembling,4902,3574,456,4902,4902,4902,456,4902
,,3949,339920,Skate Mfg.,3146,3146,445,3146,3146,3146,445,3146
,,3949,339920,"Sporting Goods Mfg. (Leather--DE, PA)",4902,3574,205,4902,4902,4902,205,4902
Sporting Goods or Athletic Equipment Stores,18206,5941,451110,Store: Sporting Goods--Retail,8017,8017,928,8017,8017,8017,928,8017
"Sports or Outdoor Activities--Commercially
Operated",48610,7999,713990,"Sports or Outdoor Activities--Commercially
Operated (CGL)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Stables--Boarding, Livery or Racing",99111,"272
7999","112920
713990","Breeding Farm or Stable
Horse Show--Stable Employees","8279
8279","8631
7207","801
969","8279
8279","8279
7201","8280
7201","801
969","83
83"
FastComp.com 72 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,"272
272","115210
112920","Livery or Boarding Stable--Not Sales Stable
Stable or Breeding Farm","8279
8279","7207
8631","801
801","8279
8279","7201
8279","7201
8280","801
801","83
83"
"Stadiums--Operated by Insured--Not-For-Profit
Only",48638,7941,711310,"Stadiums--Operated by Insured (Nonprofit)
(CGL)",9182,9182,969,9015,9182,9182,969,9182
"Stadiums--Operated by Insured--Other Than Not-
For-Profit",48637,"7941
7941","711310
711310","Athletic Sports or Park: Operations
Stadiums--Operated by Insured (CGL)","9182
9182","9182
9182","969
969","9015
9015","9182
9182","9182
9182","969
969","9182
9182"
Stationery or Paper Products Stores,18335,5112,453210,Store: Office Supplies and Stationery (CA),8017,8064,928,8017,8017,8017,928,8017
Steam Heating or Steam Power Companies,99160,4961,221330,Steam Heating or Power Co.--All Employees,7539,7539,753,7539,7570,7570,753,7502
Steam Mains or Connections Construction,99163,1623,237110,Steam Mains or Connections Construction,6319,6315,617,6319,6319,6319,617,6319
Steam Pipe or Boiler Insulation,99165,1711,238910,Boiler or Steam Pipe Insulating,5183,5184,663,5183,5184,5184,663,5183
Steel Wool or Wire Wool Mfg.,59378,3291,332999,Steel Wool or Wire Wool Mfg.,3255,3257,132,3257,3255,3255,132,3255
,,4491,488320,Stevedoring NOC (F Code),7309,N/A,7309,7309,7309,7309,7309,7309
Stevedoring,99222,4491,488320,Stevedoring--Containerized Freight (F Code),7327,N/A,7327,7327,7327,7327,7327,7327
,,4789,488999,Stevedoring--Freight Handling NOC--State,7360,7360,7366,7360,7360,7367,7366,7360
,,,,Act Only,,,,,,,,
,,4789,488999,Stevedoring--Freight Handling NOC--U.S. Act,7350,N/A,7366,7350,7360,7366,7366,7350
,,,,(F Code),,,,,,,,
"Stevedoring--by Hand or by Means of Hand
Trucks Exclusively--No Hoisting of Cargo",99220,4491,488320,"Stevedoring--by Hand or Hand Trucks
Exclusively (F Code)",7317,N/A,7317,7317,7327,7317,7317,7317
,,4783,488991,Stevedoring--Explosive Materials--under,N/A,N/A,7323,7323,N/A,7323,7323,N/A
,,,,Contract,,,,,,,,
Stevedoring--Handling Explosives or,99221,4789,488999,Stevedoring--Freight Handling--Explosives or,7360,7360,7366,7360,7360,7366,7366,7360
Ammunition--under Contract,,,,Ammunition--State Act Only,,,,,,,,
,,4789,488999,Stevedoring--Freight Handling--Explosives or,7350,N/A,7366,7350,7360,7366,7366,7350
,,,,Ammunition--under Contract--U.S. Act (F,,,,,,,,
,,,,Code),,,,,,,,
,,4783,488991,"Stevedoring--Freight Handling--Packing,",7360,7360,7360,7360,7360,7367,7360,7360
,,,,Handling or Shipping Explosives or,,,,,,,,
,,,,Ammunition--under Contract,,,,,,,,
,,4729,561599,Steamship Line or Agency Port Employees:,8719,8720,709,N/A,8709,8719,709,8709
,,,,"Talliers, Checking Clerks and Employees",,,,,,,,
,,,,Engaged in Mending or Repacking of,,,,,,,,
,,,,Damaged Containers--State Act Only,,,,,,,,
,,4729,561599,Steamship Line or Agency--Port Employees--,8726,N/A,8726,8726,8726,8726,8726,8726
,,,,"Superintendents, Captains, Engineers,",,,,,,,,
,,,,"Stewards, Pay Clerks (F Code)",,,,,,,,
Stevedoring--Tallyers or Checking Clerks,99223,4729,561599,Steamship Line or Agency--Port Employees--,8709,N/A,8709,8709,8711,8709,8709,8709
Engaged in Connection with Stevedoring Work,,,,"Talliers, Checking Clerks and Employees",,,,,,,,
,,,,Engaged in Mending or Repacking of,,,,,,,,
,,,,Damaged Containers--U.S. Act (F Code),,,,,,,,
,,4491,488320,Stevedoring: Talliers and Checking Clerks,8719,8720,709,N/A,8709,8719,709,8709
,,,,Engaged in Connection with Stevedore Work:,,,,,,,,
,,,,Coverage under State Act Only,,,,,,,,
FastComp.com 73 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,4491,488320,"Stevedoring: Talliers and Checking Clerks
Engaged in Connection with Stevedore Work:
Coverage under U.S. Act (F Code)",8709,N/A,8709,8709,8709,8709,8709,8709
Stockyards,48636,"211
211","112112
112112","Cattle Feedlots (NAICS)
Stockyard--Salespersons","8288
8288","38
8286","801
801","129
129","82
82","8288
8288","801
801","8288
8288"
Stone Crushing,59481,1429,212319,Stone Crushing,1710,1710,59,1624,1710,1710,59,4000
Stone Cutting or Polishing,59482,"3281
3281","327991
327991","Stonecutting or Polishing NOC
Stonecutting or Polishing--Marble or
Limestone (NY)","1803
1803","1803
1803","855
855","1624
1624","1814
1815","1810
1809","855
855","1803
1803"
Stores: Retail NOC,18437,7352,532291,Home Health Equipment Rental (NAICS),8017,8017,928,8017,8017,8017,928,8017
Stores--Food or Drink--Not-For-Profit Only,18436,5499,445299,Stores--Food or Drink (Nonprofit),8006,8006,917,8006,8006,8006,917,8006
Stores--Food or Drink--Other Than Not-For-Profit,18435,"5411
5411","445120
445120","Store: Convenience--Retail
Store: Groceries and Provisions--
Convenience--Retail (CA)","8006
8006","8061
8061","917
917","8006
8006","8006
8006","8006
8006","917
917","8006
8006"
Stores--No Food or Drink--Not-For-Profit Only,18438,5399,452990,Stores--No Food or Drink (Nonprofit),8017,8017,928,8017,8017,8017,928,8017
,,5023,423220,Home Furnishing Merchant Wholesalers,8018,8018,921,8018,8018,8018,921,8018
,,5399,452990,Household Furnishings or Wearing Apparel,8006,8008,916,8006,8008,8008,916,8752
,,,,Dealer--Retail,,,,,,,,
,,5948,448320,Luggage and Leather Goods Stores (NAICS),8017,8017,928,8017,8017,8017,928,8017
,,5399,452990,Mill Supply Dealer,8018,8018,924,8018,8018,8018,924,8018
,,7389,561910,Packaging--Contract,8018,8018,923,8059,8055,8018,923,8018
,,5932,522298,Pawn Shop,8017,8017,928,8017,8017,8017,928,8017
Stores--No Food or Drink--Other Than Not-For-,18437,5331,452990,Store: Dry Goods--Retail,8008,8008,916,8008,8008,8008,916,8008
Profit,,,,,,,,,,,,
,,5191,424910,"Store: Feed, Tack and Farm Supplies (CA)",8010,8117,924,8010,8010,8199,924,8017
,,5261,424910,Store: Garden Supplies (CA),8010,8004,924,8010,8017,8017,924,8017
,,5063,444190,Store: Lighting Fixtures--Retail (CA),8017,8063,925,8017,8017,8017,925,8017
,,5999,453998,Store: Retail--NOC,8017,8017,928,8017,8017,8017,928,8017
,,5399,452990,Wearing Apparel or Household Furnishings,8008,8008,916,8008,8008,8008,916,8752
,,,,Dealer--Retail,,,,,,,,
,,5714,442291,Window Treatment Stores,8017,8017,916,8017,8017,8017,916,8017
Street Cleaning,99303,4959,562998,Street Cleaning,9402,9403,995,9402,9402,9402,995,9402
Street or Road Construction or Reconstruction,99315,"1611
1611","238910
238910","Street or Road Construction--Rock
Excavation
Street or Road Construction--Subsurface
Work","5508
5507","5507
5507","602
602","5507
5507","6042
6042","5508
5507","602
602","5506
5506"
,,1611,237310,Asphalt Works (Temporary Locations,5506,5506,601,5506,5500,5506,601,5506
,,,,Operated by Road Paving Contractors),,,,,,,,
"Street or Road Paving or Repaving, Surfacing or",99321,1611,237310,Oiling of Roads--Delivery and Spreading of,8350,8350,601,8350,8350,8350,601,8350
Resurfacing or Scraping,,,,Oil on Roads by Oil Distributors,,,,,,,,
,,1611,237310,Street or Road Construction--Paving or,5506,5506,601,5506,5500,5506,601,5506
,,,,Repaving,,,,,,,,
,,1611,237310,"Street or Road Maintenance, Construction or",5506,5506,601,5506,5509,5506,601,5506
,,,,"Reconstruction by State, County or",,,,,,,,
,,,,Municipality (NJ),,,,,,,,
FastComp.com,,74,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
"Streets, Roads, Highways or Bridges--Existence
and Maintenance Hazard Only",48727,N/A,N/A,"Streets, Roads, Highways or Bridges--
Existence and Maintenance Hazard Only",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sugar Refining,59537,"2063
2062
2061","311313
311312
311311","Beet Sugar Mfg.
Sugar Refining
Sugarcane Mills (NAICS)","2021
2021
2021","2030
2030
2030","107
107
107","2021
2021
2021","6504
6504
6504","2021
2021
2021","103
103
103","2041
2041
2041"
Sun Tanning Salons,48808,7299,812199,Sun Tanning Salons,9586,9586,977,9586,9586,9586,977,9586
Supermarkets,18501,5411,445110,Store: Supermarket,8033,8006,917,8033,8033,8033,917,8033
"Surveyors--Land--Not Engaged in Actual
Construction",99471,8713,541370,Surveyor,8602,8602,955,8602,8602,8602,955,8602
Swimming Pool Servicing,99505,1799,238990,Swimming Pool Servicing,5223,5213,674,5223,5223,5223,674,5200
Swimming Pools,48925,7999,713940,Swimming Pool--Public--Operation,9015,9015,969,9015,9015,9015,969,9015
Swimming Pools or Accessories Mfg.,59601,3999,339999,Swimming Pools or Accessories Mfg.,4484,4494,222,4484,4484,4475,222,4484
Swimming Pools--Commercially Operated,48924,7997,713940,"Swimming Pools--Commercially Operated
(CGL)",9063,9053,976,9063,9053,9063,976,9063
"Swimming Pools--Installation, Servicing or
Repair--Above Ground",99506,1799,238990,"Swimming Pools--Installation, Servicing or
Repair--Above Ground",5223,5213,674,5223,5223,5223,674,5200
"Swimming Pools--Installation, Servicing or
Repair--Below Ground",99507,1799,238990,"Swimming Pool Construction--Not Iron or
Steel",5223,5213,674,5223,5223,5223,674,5200
,,2087,311930,Flavoring Syrup and Concentrate Mfg.,2021,2030,107,2021,6504,2021,103,2041
,,,,(NAICS),,,,,,,,
"Syrups or Molasses--Refining, Blending or Mfg.",59647,2099,311999,"Molasses or Syrup Refining, Blending or Mfg.",2021,2030,107,2021,6504,2021,103,2041
,,2099,311999,"Syrup or Molasses Refining, Blending or Mfg.",2021,2030,107,2021,6504,2021,103,2041
Tailor Merchants--Men or Boys,18506,5699,448190,Tailor Shop,8017,8017,916,8017,2582,2503,916,8017
"Tailoring or Dressmaking Establishments--
Custom",18507,5699,448190,"Dressmaking or Tailoring--Custom
Exclusively",2503,2501,916,2503,2503,2503,916,2503
,,3795,336992,Military Tank Hull Mfg. or Assembly,3620,3620,415,3620,3620,3620,415,3620
Tank Building or Mfg.--Metal--Not Pressurized,59660,3731,336611,Shipbuilding--Iron or Steel--NOC--Coverage,3620,3620,415,3620,3620,3620,415,3620
,,,,under State Act Only: Boilermaking,,,,,,,,
,,3443,332420,Tank Building--Metal--Shop,3620,3620,415,3620,3620,3620,415,3620
Tank Building or Mfg.--Metal--Pressurized,59661,3443,332410,Boilermaking,3620,3620,415,3620,3620,3620,415,3620
"Tank Construction, Installation, Erection or
Repair--Metal--Not Pressurized",99570,1791,238120,"Tank Construction, Installation, Erection or
Repair--Metal--Not Pressurized",5040,5040,655,5040,5040,5040,655,5040
"Tank Construction, Installation, Erection or
Repair--Metal--Not Pressurized--within Buildings
Exclusively",99572,1791,238120,"Tank Erection or Repair--Metal--within
Buildings Exclusively (Not Pressurized)",3726,3726,655,3726,3726,3726,655,3726
"Tank Construction, Installation, Erection or
Repair--Metal--Pressurized",99571,1791,238120,"Tank Construction, Installation, Erection or
Repair--Metal--Pressurized",5040,5040,655,5040,5040,5040,655,5040
"Tank Construction, Installation, Erection or
Repair--Metal--Pressurized--within Buildings
Exclusively",99573,1791,238120,"Tank Erection or Repair--Metal--within
Buildings Exclusively (Pressurized)",3726,3726,677,3726,3726,3726,677,3726
Tanning--Animal Hides,59693,3111,316110,"Leather Mfg.--Including Tanning, Leather
Embossing, and Wool Pulling",2623,2688,201,2623,2623,2623,201,2688
Tattoo Parlors,18570,7299,812199,Tattoo Parlors,9586,9586,977,9586,9586,9586,977,9586
,,"4119
4119","485320
485320","Limousine Co.--All Other Employees--
Nonscheduled
Limousine Co.--All Other Employees--
Scheduled","7370
7382","7382
7382","817
817","7382
7382","7382
7382","7377
7377","817
817","7382
7382"
FastComp.com,,75,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
Taxicab Companies,68001,"4119
4121
4121
4111","485320
485310
485310
485999","Limousine Co.--Garage Employees
Taxicab Company--All Other Employees
Taxicab Company--Garage Employees
Transit and Ground Transportation NOC
(NAICS)","8385
7370
8385
7370","7382
7365
7365
7382","817
803
803
817","8395
7382
8395
7382","8385
7370
8385
7382","8385
7368
8385
7377","817
803
803
817","8385
7382
8385
7382"
Taxidermists,49005,7299,812990,Taxidermist,9600,4038,922,2790,9600,9600,922,9600
Telecommunication Equipment Mfg.,59695,"3663
3661
3661","334220
334210
334210","Telecommunication Equipment Mfg. (CA, DE,
PA)
Telephone Apparatus Mfg. (NAICS)
Television, Radio, Telephone or
Telecommunication Device Mfg. NOC","3681
3681
3681","3681
3681
3681","485
485
485","3681
3681
3681","3681
3681
3681","3681
3681
3681","485
485
485","3681
3681
3681"
Telecommunication Equipment Providers,18575,5065,423690,"Electronic Parts and Equipment Merchant
Wholesalers NOC (NAICS)",8901,7600,757,8901,8901,8901,757,8901
,,4899,517410,Satellite Telecommunications (NAICS),7600,7600,757,7600,7600,7600,757,7600
,,4899,517919,Telecommunications NOC (NAICS),7600,7600,757,7600,7600,7600,757,7600
Telecommunications Service Providers,99600,4813,517911,Telecommunications Resellers (NAICS),7600,7600,757,7600,7600,7600,757,7600
,,4813,517110,Telephone or Telegraph Co.: Office or,8901,7600,757,8901,8901,8901,757,8901
,,,,Exchange Employees,,,,,,,,
,,4812,517210,Wireless Telecommunications Carriers,7600,7600,757,7600,7600,7600,757,7600
,,,,(Except Satellite) (NAICS),,,,,,,,
Telegraph Companies,99614,4822,517110,"Telephone or Telegraph Co.: All Other
Employees",7600,7600,757,7600,7600,7600,757,7600
,,1623,237130,Power and Communication Line Construction,7601,7601,656,7600,7601,7601,656,7602
,,1623,237130,Telephone or Cable TV Line Installation--,7612,7601,759,7600,7601,7601,759,7602
,,,,"Contractors, Overhead",,,,,,,,
"Telephone, Telegraph or Cable Television Line",99613,1623,237130,Telephone or Cable TV Line Installation--,7613,7601,759,7600,7600,7600,759,7600
Construction,,,,"Contractors, Service Lines and Connections",,,,,,,,
,,1623,237130,Telephone or Cable TV Line Installation--,7611,6325,759,6325,6325,6325,759,6219
,,,,"Contractors, Underground",,,,,,,,
,,1623,237130,"Telephone, Telegraph or Fire Alarm Line",7601,7601,757,7600,7601,7601,757,7602
,,,,Construction,,,,,,,,
Teleproduction Studios,99620,"7819
7819","512191
512191","Audio or Video Post-Production--Computer or
Electronic (CA)
Teleproduction Studios","4360
4360","7607
4362","928
928","4360
4360","4360
4360","4360
4360","928
928","4360
4360"
"Television or Radio Receiving Set Installation or
Repair",99650,"7622
7622","811213
811213","Automobile Radio, TV, Video and Audio
Equipment Installation Service or Repair
Radio, Television, Video, and Audio
Equipment Installation, Service or Repair","9516
9516","9516
9516","966
966","9519
9519","9519
9519","9519
9519","966
966","7600
7600"
Television Picture Tube Mfg.,59701,3671,334411,Electron Tube Mfg. (NAICS),4112,4111,486,4131,4115,4112,486,4112
,,3499,332999,Awning Mfg. and Erection--Metal--,3076,3076,456,3076,3076,3076,456,3066
,,,,Manufactured by an Insured Engaged in the,,,,,,,,
,,,,Manufacture of Canvas Products,,,,,,,,
Tent or Canopy Mfg.,59713,2394,314912,Awning or Tent Mfg.--Shop,2501,2576,166,2576,2576,2576,166,2576
,,2394,314912,Canvas Goods Mfg. NOC--Shop,2501,2576,166,2576,2576,2576,166,2576
,,2394,314912,Tent or Awning Mfg.--Shop,2501,2576,166,2576,2576,2576,166,2576
"Tent or Canvas Goods--Erection, Removal or
Repair--Away from Shop",99709,"1796
1796","238390
238190","Awning Erection: Canvas Products
Awning Erection--Metal--Erection of Metal
Awnings Exclusively","5102
5535","5102
5538","681
651","5538
5538","9538
5538","9539
5538","681
651","5102
5538"
FastComp.com,,76,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,1796,238390,"Awning, Tent or Canvas Goods Erection,
Removal or Repair",5102,5102,681,5538,9538,9539,681,5102
Tents or Canopies--Loaned or Rented to Others,49111,7359,532310,"Tents or Canopies--Loaned or Rented to
Others",8010,8066,925,8010,8017,8017,925,8017
,,2396,323113,Cloth Printing,2417,4295,139,4299,2420,2417,139,4299
,,2269,313311,Cloth Printing--Silk Screen Process: Hand,2501,4295,139,4299,700,2413,139,4299
,,,,Printing,,,,,,,,
,,2269,313311,Cloth Printing--Silk Screen Process:,2413,4295,139,4299,4353,2413,139,4299
,,,,Machinery Operations,,,,,,,,
"Textile Bleaching, Dyeing, Mercerizing, Printing,",59722,2269,313311,"Textile--Bleaching, Dyeing, Mercerizing,",2413,2413,139,4299,2418,2413,139,2220
Finishing or Silk Screening--New Goods,,,,Finishing,,,,,,,,
,,2284,313312,Thread Dyeing or Finishing,2416,2586,139,4299,2416,2416,139,2220
,,2281,313312,Yarn Dyeing or Finishing,2416,2586,139,4299,2416,2416,139,2220
,,2269,313311,"Leather or Textile Finishers, Softeners or",2413,2413,139,4299,4707,2413,139,2220
,,,,Sizes Mfg.--Oil Base (NJ),,,,,,,,
Textile Coating or Impregnating,59723,2295,313320,Fabric Coating or Impregnating NOC,4493,2413,139,9501,4493,4493,139,4452
Textile Mfg.--Impregnated or Coated,59724,2295,313320,Fabric Coating Mills (NAICS),4493,2413,139,9501,4493,4493,139,4452
Textile Products Mfg.--Fabricated,59725,"2391
2392","314121
314129","Curtain and Drapery Mills (NAICS)
Furnishing Goods Mfg. NOC","2501
2501","2501
2501","163
163","2501
2501","2501
2501","2553
2553","163
163","2501
2501"
,,2211,313210,Cotton Spinning and Weaving,2220,2222,132,2380,2222,2302,132,2220
,,2299,313230,Felting Mfg.,2288,2211,130,2380,2286,2288,130,2288
,,2299,313210,Flax Spinning and Weaving,2220,2222,132,2380,2222,2302,132,2220
,,2299,313210,Hemp or Jute Spinning and Weaving,2220,2222,132,2380,2222,2302,132,2220
,,2299,313210,Jute or Hemp Spinning and Weaving,2220,2222,132,2380,2222,2302,132,2220
"Textile Spinning, Weaving or Knitting Mills",59726,2299,313210,Linen Cloth Mfg.,2220,2413,132,2380,2222,2302,132,2220
,,2295,313320,Oil Cloth Mfg.,4493,2413,227,9501,4493,4493,227,4452
,,2221,313210,Plush or Velvet Mfg.,2300,2222,132,2380,2303,2302,132,2220
,,2299,314999,Textile Mending,2501,2501,161,2501,2501,2501,161,2501
,,2231,313210,Wool Spinning and Weaving,2286,2222,132,2380,2286,2286,132,2286
,,2281,313111,Yarn Spinning Mills (NAICS),2286,2222,132,2380,2286,2286,132,2286
Theaters--Drive-In,49181,7833,512132,Theater--Drive-In--All Employees,9154,9154,967,9154,9154,9149,967,9154
Theaters--Motion Pictures,49183,"Var.
7832","711510
512131","Independent Artists, Writers, and Performers
(NAICS)
Theater--Motion Picture (CA)","9156
9154","9155
9155","967
967","9154
9154","9154
9154","169
9160","967
967","154
9154"
Theaters--Not-For-Profit Only,49185,7832,512131,Theaters (Nonprofit),9154,9155,967,9154,9154,9160,967,9154
,,5812,711110,Dinner Theater--Theater Operations More,9154,9154,975,9154,9154,9158,975,9154
,,,,Than 50% Total Payroll--All Other Employees,,,,,,,,
,,5812,711110,Dinner Theater--Theater Operations More,9156,9156,975,9154,9156,9159,975,9156
,,,,Than 50% Total Payroll--Players,,,,,,,,
Theaters--Other Than Not-For-Profit Only,49184,7922,711110,Theater NOC--All Other Employees,9154,9154,967,9154,9154,9160,967,9154
,,7922,711130,Theater--Music Ensemble (CA),9156,9151,967,9154,9156,9159,967,9156
FastComp.com 77 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,7922,711120,"Theatrical Production in Which Any Players or
Entertainers Dance, Skate or Perform
Acrobatic Acts: Players, Entertainers or
Musicians (NY)",9156,9156,967,9156,9156,9157,967,9156
Theatres NOC--Other than Not-For-Profit Only,49184,7922,711120,"Theater NOC: Players, Entertainers or
Musicians",9156,9156,967,9156,9156,9159,967,9156
Theatrical Companies--Traveling,99718,7922,711110,Theatrical Companies--Traveling,9154,9154,967,9154,9154,9160,967,9154
Ticket Agencies,68439,N/A,711320,"Ticket Agencies (Sports, Entertainment)",8810,8810,953,8810,8810,8810,953,8810
"Tie, Post or Pole Yard",59738,"5039
5039","423310
423310","Pole, Post or Tie Yard
Tie, Post or Pole Yard","2960
2960","2710
2710","855
855","8232
8232","2960
2960","8232
8232","855
855","8234
8234"
"Tile, Stone, Marble, Mosaic or Terrazzo Work--
Interior Construction",99746,1743,238340,"Ceramic Tile, Indoor Stone, Marble or Mosaic
Work",5348,5348,668,5348,5348,5348,668,5348
Tire Dealers,18616,"5531
5014","441320
423130","Rubber Tire Dealer
Tire and Tube Merchant Wholesalers","8380
8046","8388
8046","815
934","8387
8046","8387
8046","8391
8046","815
934","8391
8391"
"Tire Mfg.--Auto, Bus or Truck",59750,3011,326211,"Rubber Tire Mfg. (Auto, Bus, Truck)",4420,4410,225,4410,4410,4420,225,4420
"Tire Mfg.--Not Auto, Bus or Truck",59751,3011,326211,Rubber Tire Mfg.,4420,4410,225,4410,4410,4420,225,4420
Tire--Retreading or Recapping,49239,7534,326212,Rubber Tire Recapping (CA),8380,4420,225,4410,8387,8391,225,4420
Tobacco Products Distributors,18707,5194,424940,Tobacco Products Distributors,8018,8018,924,8018,8018,8018,924,8018
Tobacco Products Mfg.--Cigars or Cigarettes,59773,"2121
2111","312229
312221","Cigar Mfg.
Cigarette Mfg.","2172
2172","N/A
N/A","115
115","N/A
N/A","2173
2173","2172
2172","115
115","2172
2172"
Tobacco Products Mfg.--Other,59774,2131,312229,Tobacco Mfg. NOC,2172,N/A,115,N/A,2173,2172,115,2172
Tobacco Products Mfg.--Plug or Snuff,59775,2131,312229,Tobacco Products Mfg.--Plug or Snuff,2172,N/A,115,N/A,2173,2172,115,2172
Tobacco Products Stores,18708,5993,453991,Tobacco Products Stores,8017,8017,928,8017,8017,8043,928,8017
Tobacco Rehandling or Warehousing,99760,2141,312210,Tobacco Rehandling or Warehousing,2174,N/A,115,N/A,2173,2172,115,2172
Toll Bridges,49292,"4785
4785","488490
488490","Bridge or Vehicular Tunnel Operation
Tunnel--Vehicular--or Bridge Operations","9019
9019","9422
9422","951
951","9015
9015","9418
9418","9019
9019","951
951","9019
9019"
,,3544,332212,Tool Mfg.--Drop or Machine Forged NOC:,3110,3110,433,3110,3110,3110,433,3110
,,,,Forging,,,,,,,,
Tool Mfg.--Accessories,59781,3544,333514,Tool Mfg.--Drop or Machine Forged NOC:,3114,3110,433,3114,3114,3114,433,3114
,,,,Machining or Finishing of Tools or Die Making,,,,,,,,
,,,,Operations,,,,,,,,
,,3545,333515,Tool Mfg.--Not Drop or Machine Forged NOC,3113,3099,441,3113,3113,3113,441,3113
,,3423,332212,"Hand Tool Mfg.--Non-Forged (DE, PA)",3118,3099,442,3113,3117,3118,445,3113
,,3425,332213,Saw Mfg.,3118,3099,443,3113,3118,3118,445,3113
Tool Mfg.--Hand Type--Not Powered,59782,3425,332213,Saw Sharpening,3118,3099,443,3113,3118,3118,445,3114
,,3423,332212,"Tool Mfg.--Agricultural, Construction, Logging,",3126,3099,441,3113,3113,3126,441,3126
,,,,"Mining, Oil or Artesian Well",,,,,,,,
,,3423,332212,Tool Mfg.--Drop or Machine Forged NOC:,3110,3110,433,3110,3110,3110,433,3110
,,,,"Forging (Hand Type, Not Power)",,,,,,,,
Tool Mfg.--Hand Type--Powered,59783,3546,333991,"Tool Mfg.--Drop or Machine Forged NOC:
Forging (Hand Type, Power)",3110,3110,433,3110,3110,3110,433,3110
"Tool Mfg.--Power Equipment--Household Type--
Outdoor or Workshop",59784,3524,333112,"Lawn and Garden Tractor and Home Lawn
and Garden Eqpt. Mfg. (NAICS)",3110,3110,433,3110,3110,3110,433,3110
FastComp.com 78 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
"Towers--Telecommunication--Existence Hazard
Only (Lessors Risk Only)",49305,N/A,N/A,"Towers--Telecommunication--Existence
Hazard",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Townhouses or Similar Associations
(Association Risk Only)",68500,6531,531311,"Townhouse Associations (Association Risk
Only)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Toy Distributors,18833,5092,423920,Toy Distributors,8018,8018,924,8018,8018,8018,924,8018
Toy Stores,18834,5945,451120,Toy Stores,8017,8017,928,8017,8017,8017,928,8017
Toys or Games Mfg.,59790,"3942
3942
3944","339931
339931
339932","Doll or Doll Parts Mfg. or Assembly
Toy Mfg.: Cloth Stuffed Animals or Toys
Toy Mfg.--Wood","4484
2501
2841","4478
2501
2842","222
163
311","4484
2501
2841","4484
2501
2841","4475
2501
2841","222
163
311","4484
2501
2881"
Trailer Dealers,19795,5599,441229,Motor Vehicle Dealers NOC (NAICS),8748,8748,818,8748,8748,8748,818,8748
Trailer Rental Agencies,19796,7519,532120,"Trailer Rental Agencies--Rental Clerk (DE,
PA)",8002,8391,818,7382,7369,8392,818,8002
Trailers Mfg.,59798,3715,336212,Truck Trailer Mfg. (NAICS),3808,3808,451,3808,3815,3808,451,3808
Travel Agency Tours,49333,4725,561520,Travel Agency Tours,8742,8742,951,8742,8742,8742,951,8742
,,782,561730,Tree Pruning and Removal--All Operations,106,106,5,106,106,106,5,106
,,,,and Drivers--Natural Catastrophe,,,,,,,,
"Tree Pruning, Dusting, Spraying, Repairing,",99777,782,561730,"Tree Pruning, Spraying, Repairing--All",106,106,5,106,106,106,5,106
Trimming or Fumigating,,,,Operations,,,,,,,,
,,782,561730,"Tree Pruning, Trimming or Spraying--All",106,106,5,106,106,106,5,106
,,,,Operations and Drivers for Existing Right-of-,,,,,,,,
,,,,"Way--Electric, Power, Telephone, Burglar or",,,,,,,,
,,,,Fire Alarm Lines,,,,,,,,
